Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                  
1989 3.6 3.76 3.33 2.87 3.75 3.95 3.48 3.3 3.33 3.3 3.33 3.45 3.76 4.07 4.07 4 4.09 2.21 2.11
1990 3.23 2.81 3.11 3.06 2.77 2.93 3.01 3.1 3.3 3.1 3.3 2.88 3.93 3.24 3.22 3.12 3.34 3.07 2.9
1991 2.72 2.72 3.11 3.13 2.69 3.03 3.14 2.92 2.66 2.92 2.66 2.65 3.25 3.32 3.66 2.78 3.36 2.25 2.24
1992 4.1 3.46 3.27 3.21 3.36 3.01 3.04 3.17 3.33 3.17 3.33 3.23 3.39 3.28 3.43 3.65 3.31 2.6 3.53
1993 3.51 3.28 3.05 3.05 3.09 3.18 3.19 2.69 2.81 2.69 2.81 3.02 3.06 2.99 3.99 3.45 3.22 2.45 2.39
1994 3.54 3.19 3.53 3.53 3.09 3.14 3.31 3.06 3.49 3.06 3.49 3.17 3.92 4.41 3.33 2.77 3.03 3.02 2.72
1995 3.12 2.89 3.11 2.66 3.01 3.21 3.28 3.05 3.1 3.05 3.1 3.41 3.49 3.73 3.98 2.96 3.4 2.46 2.57
1996 3.31 2.94 3.09 2.91 3.07 3.24 3.08 2.83 2.94 2.83 2.94 3.14 3.19 3.04 2.56 2.72 3.18 2.82 2.91
1997 3.72 2.98 3.09 3.08 3.25 3.48 3.51 3.44 3.47 3.44 3.47 3.24 3.77 3.64 3.6 3.26 3.56 2.72 2.77
1998 3.19 2.37 2.88 2.49 2.62 2.62 2.96 2.61 2.84 2.61 2.84 2.81 3.08 3.78 4.22 2.9 3.14 2.51 2.65
1999 3.26 3.19 3.43 3.12 3.54 3.8 3.65 3.31 3.28 3.31 3.28 3.27 3.31 3.69 3.47 3.65 3.81 2.84 2.73
2000 4.02 3.94 4.1 3.41 3.92 4.21 4.23 3.93 3.76 3.93 3.76 3.14 3.87 4.08 4.27 4.37 4.23 2.27 3.32
2001 4.99 4.71 4.12 3.29 4.32 4.56 4.4 3.91 3.66 3.91 3.66 3.02 3.76 3.83 3.9 2.74 3.08 2.86 3.13
2002 2.9 3.09 2.8 3.37 3.18 3.24 2.96 2.65 3.04 2.65 3.04 2.88 3.9 3.73 3.02 3.08 3.3 2.82 3.74
2003 3.26 3.43 3.3 2.73 3.59 3.48 3.28 3.29 3.5 3.29 3.5 3.26 3.69 4.71 5.16 2.79 3.45 2.86 3.03
2004 3.64 3.13 2.77 2.37 3.25 3.32 3.33 3.28 3.35 3.28 3.35 3.25 3.9 3.4 4.27 3.77 3.76 2.7 3.67
2005 4.34 3.83 3.05 3.81 2.84 2.69 2.59 2.59 2.76 2.59 2.76 3.47 2.78 3.76 3.44 2.98 3.25 2.93 2.88
2006 4.05 3.34 3.24 2.86 3.3 3.14 3.21 2.93 3.11 2.93 3.11 3.17 3.33 3.44 3.61 2.9 3.15 2.37 2.78
2007 2.95 3.6 2.72 2.32 3.78 3.57 3.03 3.52 3.31 3.52 3.31 3.24 3.16 3.64 3.47 2.82 3.14 3.57 2.98
2008 3.49 3.5 3.38 3.08 3.17 2.94 2.92 2.82 3.08 2.82 3.08 2.75 3.63 3.73 3.47 3.13 3.45 2.26 2.79
2009 3.95 3.67 3.45 2.62 3.39 3.08 3.15 3.24 3.46 3.24 3.46 3.53 3.69 4.28 4.04 3.2 3.6 2.65 3.11
2010 2.87 2.68 3.44 3.39 2.77 2.91 3.22 3.06 3.32 3.06 3.32 3.32 3.38 3.28 3.21 3.91 3.56 3.18 2.77
2011 4 4.2 3.21 3.09 3.7 3.45 3.61 3.65 3.98 3.65 3.98 3.39 3.83 4.05 3.39 3.12 3.19 2.94 3.29
2012 4.04 3.83 4.17 3.61 3.66 3.72 3.54 3.72 3.77 3.72 3.77 2.79 3.78 3.64 4.2 2.57 2.96 2.57 2.53
2013 3.32 3.45 3.31 3.74 3.43 3.49 3.36 3.45 3.57 3.45 3.57 3.22 4.03 4.02 4.03 3.67 3.78 2.54 2.64
