Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                   
1984 3.1 3.16 3.28 3.36 3.45 3.2 3.22 3.26 3.3 3.26 3.3 3.37 3.72 3.41 3.58 2.73 3.1 2.36 2.52
1985 3.79 3.58 3.62 3.07 3.85 3.56 3.24 2.93 3.29 2.93 3.29 2.9 3.48 3.46 3.38 3.43 3.4 2.11 2.16
1986 2.91 2.85 3.15 3.03 2.91 3.11 3.19 3.06 3.03 3.06 3.03 2.66 2.99 3.55 3.45 2.45 2.68 3.15 2.73
1987 3.41 3.28 3.15 3.39 3.39 3.3 3.18 3.2 3.14 3.2 3.14 2.88 3.46 3.31 3.23 3.09 3.16 2.76 2.47
1988 3.46 3.39 2.89 2.36 3.3 3.09 2.84 3.02 3.62 3.02 3.62 3.57 3.85 4.41 3.65 3.71 3.67 2.69 2.47
1989 3.5 3.5 3.51 2.96 3.45 3.27 3.28 3.34 3.43 3.34 3.43 3.44 4.05 4.28 3.85 3.43 3.35 2.51 2.33
1990 3.65 3.38 3.63 2.89 3.53 3.48 3.57 3.51 3.56 3.51 3.56 3.26 4.04 3.98 4.25 3.06 2.87 2.84 2.51
1991 2.96 3.21 3.19 2.91 3.36 3.71 3.5 3.51 3.7 3.51 3.7 3.01 4.05 4.82 4.05 3.18 3.34 2.61 2.38
1992 2.99 2.99 3.14 3.17 3.33 3.47 3.27 3.2 3.27 3.2 3.27 2.95 3.32 3.75 3.46 2.91 2.98 2.53 2.53
1993 3.31 3.43 3.7 3.41 3.67 3.77 3.56 3.32 3.33 3.32 3.33 3.05 4.07 3.83 4.34 2.94 3.19 2.33 2.59
1994 3.75 3.43 3.43 2.79 3.56 3.43 3.39 3.2 3.18 3.2 3.18 3.02 3.26 3.89 3.52 2.96 2.86 2.36 2.51
1995 3.38 3.38 3.31 2.47 3.46 3.48 3.52 3.42 3.3 3.42 3.3 3.2 3.74 4.46 3.35 3.31 2.93 2.05 2.14
1996 3.07 3.03 2.63 2.23 2.7 2.93 2.65 2.83 2.82 2.83 2.82 2.74 3.06 3.53 3.93 2.55 2.86 2.32 2.16
1997 3.41 3.14 3.17 2.77 2.9 3.02 3.15 3.1 3.01 3.1 3.01 3.01 3.25 3.24 3.58 2.92 2.94 2.66 2.29
1998 3.09 3.02 3.16 2.7 2.79 2.67 2.59 2.76 2.97 2.76 2.97 3.23 3.28 3.08 3.97 3.46 3.38 3.03 2.41
1999 3.21 3.29 3.49 2.91 3.42 3.5 3.27 2.9 2.94 2.9 2.94 2.93 3.22 3.41 3.74 3.04 3.12 2.42 2.21
2000 2.69 2.56 3.08 2.71 2.6 2.63 2.72 2.96 3.06 2.96 3.06 2.97 3.77 3.89 3.87 3.23 3.09 2.39 2.32
2001 2.84 2.82 2.63 2.53 2.76 2.56 2.37 2.29 2.49 2.29 2.49 2.48 3.23 3.64 3.44 2.91 2.85 2.23 2.14
2002 3.94 3.38 3.81 2.91 3.61 3.39 3.44 3.45 3.64 3.45 3.64 3.16 4.42 4.15 3.89 2.94 3.21 2.2 2.06
2003 3.73 3.42 2.79 2.61 3.3 3.24 2.9 2.89 2.79 2.89 2.79 2.61 3.05 3.31 3.88 2.82 3.32 2.34 2.35
2004 2.84 2.98 2.96 2.63 3.41 3.24 3.04 2.81 2.99 2.81 2.99 2.83 3.38 3.36 3.51 3.27 2.83 2.4 2.4
2005 3.3 3.61 3.26 2.91 3.58 3.75 3.37 3.16 3.07 3.16 3.07 3.21 3.39 3.16 3.6 3.48 3.4 3.03 2.82
2006 3.08 3.28 3.41 2.32 3.13 3.43 3.62 3.54 3.56 3.54 3.56 3.34 3.86 3.51 3.87 2.93 3.35 2.61 2.51
2007 3.14 2.99 3.38 2.84 3.13 3.26 3.51 3.38 3.23 3.38 3.23 3.11 3.51 3.65 3.47 3.04 3.6 2.29 2.34
2008 3.22 3.1 2.91 2.61 2.99 3.06 2.91 2.79 2.81 2.79 2.81 2.99 3.02 3.64 3.27 3.07 3.14 2.51 2.28
2009 3.44 3.15 3.19 2.47 3.23 3.08 3.03 3.28 3.42 3.28 3.42 3.15 3.61 3.33 3.26 3.07 3.37 2.37 2.42
2010 3.06 2.98 2.86 2.57 2.89 2.65 2.63 2.69 2.6 2.69 2.6 2.58 2.99 3.22 3.26 3.46 3.02 2.33 2.39
2011 3.43 2.77 2.84 3.28 2.76 2.86 3 2.87 2.77 2.87 2.77 2.7 2.95 3.34 3.72 2.96 3.01 2.23 2.45
2012 3.39 3.26 2.78 2.52 3.01 2.88 2.85 2.79 2.77 2.79 2.77 2.87 3.32 3.79 2.96 3.32 3.24 2.75 2.63
2013 3.42 3.57 3.91 2.77 3.49 3.62 3.75 3.61 3.82 3.61 3.82 3.5 3.53 3.33 3.76 3.21 3.06 2.64 2.33
