Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300             
1985 3.4 3.63 3.79 3.08 3.53 3.72 4 3.71 3.65 3.71 3.65 3.35 4 4.26 3.98 3.09 3.32 2.48 2.36
1986 3.8 3.69 3.42 3.14 3.69 3.49 3.53 3.34 3.45 3.34 3.45 3.32 3.72 3.76 3.91 3.11 3.24 2.8 2.51
1987 3.09 3.31 3.14 2.75 3.28 3.07 2.92 2.85 2.89 2.85 2.89 2.51 3.17 3.7 3.45 3.15 3.6 2.47 2.37
1988 3.39 3.42 2.9 2.85 3.31 3.02 2.94 2.92 2.94 2.92 2.94 2.74 3.4 3.38 3.63 2.76 3.05 2.3 2.39
1989 3.21 3.34 3.18 2.57 3.14 3.28 3.59 3.26 3.25 3.26 3.25 2.93 3.35 3.47 4 3.34 3.16 2.83 3.06
1990 3.64 3.56 2.91 2.67 3.41 3.22 3.15 3.1 3.1 3.1 3.1 3.14 3.91 4.06 3.92 3 3.23 2.69 2.66
1991 3.05 2.97 3.16 2.81 3.27 3.26 3.3 2.97 2.92 2.97 2.92 2.72 3.34 3.71 3.54 3.06 3.2 2.46 2.3
1992 3.46 3.29 3.38 3.43 3.59 3.44 3.5 3.18 3.37 3.18 3.37 3.18 3.9 3.88 4.1 2.86 3.31 2.9 2.76
1993 3.43 3.02 3.36 3.43 3.24 3.28 3.17 3.12 3.22 3.12 3.22 2.9 3.2 3.62 3.96 3.11 3.17 2.65 2.43
1994 3.17 3.22 3.58 3.49 2.95 2.9 3.2 2.82 3.11 2.82 3.11 2.92 3.05 3.67 3.98 3.2 3.86 2.59 2.79
1995 3.57 3.1 3.25 3.14 3.16 3.26 3.21 3.09 3.16 3.09 3.16 2.91 3.44 3.65 4.42 2.96 3.24 2.46 2.45
1996 3.31 3.23 3.66 2.59 3.65 3.54 3.44 3.39 3.58 3.39 3.58 3.36 4.12 4.55 4.61 2.97 3.13 2.34 2.35
1997 2.68 3.06 3.5 3.03 3.2 3.3 3.3 3.05 3.05 3.05 3.05 2.94 3.23 3.3 3.79 2.86 3.3 2.71 2.57
1998 3.93 3.44 3.06 2.89 3.38 3.2 3.05 3.02 3.03 3.02 3.03 3 3.18 3.8 3.83 3.3 3.22 2.38 2.44
1999 3.33 3.04 3.2 2.65 3.5 3.43 3.32 3.67 3.46 3.67 3.46 3.17 3.58 3.57 3.48 3.19 3.06 2.43 2.67
2000 3.32 3.27 3.13 2.96 3.48 3.37 3.14 3.04 3.25 3.04 3.25 2.74 3.42 3.54 3.05 2.93 3.07 2.65 2.51
2001 3.41 3.38 3.25 2.96 3.48 3.37 3.31 3.23 3.28 3.23 3.28 3.17 3.77 3.66 3.96 3 3.51 2.27 2.75
2002 2.86 2.85 2.92 2.23 2.76 3.38 3.34 2.91 2.65 2.91 2.65 2.68 2.78 2.89 2.92 2.93 3.13 2.4 2.23
2003 3.56 3.18 3.1 2.95 3.04 2.77 2.82 2.95 2.72 2.95 2.72 2.69 3.21 3.25 3.65 3.05 3.25 2.6 2.55
2004 3.25 3.34 2.99 3.97 3.27 3.11 3 3.09 3.44 3.09 3.44 2.9 3.5 3.44 4.16 2.78 3.36 2.22 2.38
2005 3.06 3.49 3.17 2.79 3.72 3.36 3.17 3.18 3.37 3.18 3.37 3.41 3.55 3.24 3.67 3.29 2.96 2.18 2.46
2006 3.32 2.97 2.96 2.57 2.83 2.95 3.08 2.89 2.97 2.89 2.97 2.75 3.27 4.23 3.49 2.93 3.23 2.84 2.53
2007 3.24 3.38 3.25 3.29 3.17 3.13 3.06 3.28 3.14 3.28 3.14 3.24 3.66 3.43 3.44 3.17 3.12 2.56 2.64
2008 3.95 3.66 3.6 2.99 3.56 3.46 3.68 3.54 3.69 3.54 3.69 3.64 3.94 3.78 3.25 2.84 3.15 3.01 2.82
2009 3.39 3.49 3.55 3.82 3.59 3.63 3.45 3.39 3.22 3.39 3.22 3.18 3.76 3.83 3.73 3.05 3.36 2.47 2.56
2010 3.41 3.52 3.3 3.34 3.48 3.21 3.1 3.08 3.11 3.08 3.11 3.2 3.42 3.22 3.04 2.98 3.03 2.81 2.69
2011 3.23 3 3.32 2.72 2.99 3.18 3.17 3.03 3.18 3.03 3.18 2.73 3.48 3.55 3.79 3.39 3.18 2.39 2.53
2012 2.81 3.14 3.25 3.17 3.33 3.05 2.99 2.98 2.88 2.98 2.88 2.85 3.36 3.82 3.79 3.06 3.21 2.86 2.68
2013 3.44 3.24 3.33 3.14 3.4 3.66 3.54 3.43 3.76 3.43 3.76 3.51 4.29 4.34 3.46 3.03 3.33 2.6 2.57
