Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                   
1990 3.08 3.04 2.8 2.19 2.99 2.56 2.63 2.7 2.66 2.7 2.66 2.61 3.24 3.76 3.51 3.35 3.11 3.12 2.68
1991 3.41 3.2 2.65 2.31 3.18 2.88 2.66 2.79 2.62 2.79 2.62 2.63 2.81 3.18 3.48 2.68 2.76 2.63 2.58
1992 3.56 3.71 3.21 2.51 3.57 3.7 3.54 3.46 2.94 3.46 2.94 2.85 3.25 3.24 3.42 2.97 2.9 2.83 2.35
1993 2.74 2.46 2.74 2.46 2.65 2.78 2.89 2.99 2.97 2.99 2.97 2.87 3.21 3.42 3.48 3.09 3.31 2.49 2.66
1994 3.34 3.27 3 2.34 3.44 3.26 3.13 3.34 3.11 3.34 3.11 3.09 3.22 3.33 3.49 2.83 2.84 2.64 2.38
1995 3.34 3.64 3.06 2.92 3.72 3.44 3.22 3.38 3.03 3.38 3.03 2.86 3.17 3.76 3.35 3.16 2.73 2.58 2.66
1996 2.99 2.97 2.91 2.32 2.85 2.84 2.79 2.98 2.79 2.98 2.79 2.68 3.09 3.44 3.47 3.12 2.79 2.94 2.91
1997 2.73 2.64 2.39 2.15 2.57 2.47 2.38 2.25 2.11 2.25 2.11 2.05 2.48 3.12 3.75 2.84 2.56 2.81 2.73
1998 2.54 2.54 2.6 1.99 2.82 2.6 2.58 2.65 2.54 2.65 2.54 2.22 2.84 3.4 3.72 2.83 2.98 2.43 2.56
1999 2.62 2.63 2.4 1.92 2.71 2.41 2.5 2.47 2.42 2.47 2.42 2.17 2.55 2.47 2.56 3.02 3 2.91 2.74
2000 2.72 2.65 2.35 2.2 2.85 2.56 2.43 2.65 2.52 2.65 2.52 2.26 2.71 3.02 3.34 2.8 2.93 2.52 2.4
2001 2.63 2.68 2.59 1.98 2.46 2.31 2.49 2.62 2.51 2.62 2.51 2.42 2.69 3.25 3.4 2.95 2.83 2.5 2.53
2002 2.43 2.28 2.47 1.88 2.47 2.44 2.41 2.48 2.43 2.48 2.43 2.1 2.7 3 3.25 2.6 2.73 3.15 2.74
2003 2.57 2.66 2.41 2.19 2.65 2.53 2.43 2.61 2.27 2.61 2.27 2.28 2.42 3.09 3.12 2.92 2.67 3 2.8
2004 2.61 2.5 2.53 1.74 2.66 2.47 2.42 2.58 2.52 2.58 2.52 2.33 2.94 3.18 3.4 2.82 2.7 2.63 2.43
2005 2.44 2.76 2.23 2.03 2.73 2.5 2.2 2.29 2.51 2.29 2.51 2.29 2.52 2.8 2.82 2.93 2.77 3.15 2.98
2006 3.02 2.76 2.41 2.09 2.89 2.58 2.43 2.65 2.34 2.65 2.34 2.21 2.35 3.16 3.06 3.06 2.82 2.69 2.59
2007 2.64 2.34 2.56 1.73 2.3 2.29 2.36 2.4 2.32 2.4 2.32 2.12 2.83 3.41 3.02 2.84 2.61 2.59 2.46
2008 2.92 2.94 2.35 2.11 2.89 2.56 2.52 2.84 2.82 2.84 2.82 2.53 2.86 2.9 2.75 3.05 2.74 2.74 2.49
2009 2.73 2.77 2.64 2.33 2.9 2.57 2.45 2.7 2.54 2.7 2.54 2.44 3.11 3.51 3.49 2.57 2.6 2.59 2.68
2010 2.91 2.68 2.56 1.94 2.65 2.37 2.41 2.65 2.43 2.65 2.43 2.33 2.8 3.41 3.49 3.2 2.92 2.63 2.54
2011 2.94 2.63 2.46 2.25 2.78 2.36 2.39 2.58 2.21 2.58 2.21 2.03 2.19 2.53 2.68 2.93 2.7 2.99 2.72
2012 2.55 2.34 2.38 2.24 2.45 2.61 2.68 2.67 2.62 2.67 2.62 2.38 2.93 3 3.07 2.95 2.9 3.01 2.86
2013 3.24 2.9 2.95 1.94 2.69 2.24 2.17 2.61 2.61 2.61 2.61 2.57 2.47 2.8 3.18 3.98 3.5 3.96 3.54
